,bodyType,color,fuelType,modelDate,numberOfDoors,productionDate,vehicleTransmission,engineDisplacement,enginePower,mileage,Привод,Руль,Владельцы,ПТС,price
0,внедорожник 5 дв.,синий,бензин,2014,5,2014,автоматическая,4.4 LTR,450 N12,260000,полный,Левый,3 или более,Оригинал,3200000
1,внедорожник 5 дв.,белый,бензин,2007,5,2011,автоматическая,3.0 LTR,306 N12,216752,полный,Левый,2владельца,Оригинал,1380000
2,внедорожник 5 дв.,белый,бензин,2007,5,2008,автоматическая,4.4 LTR,407 N12,81000,полный,Левый,3 или более,Оригинал,1199000
3,внедорожник 5 дв.,серебристый,дизель,2007,5,2009,автоматическая,3.0 LTR,235 N12,141000,полный,Левый,3 или более,Оригинал,1430000
4,внедорожник 5 дв.,белый,дизель,2007,5,2011,автоматическая,3.0 LTR,245 N12,153000,полный,Левый,2владельца,Оригинал,2100000
5,внедорожник 5 дв.,чёрный,бензин,2014,5,2016,автоматическая,3.0 LTR,306 N12,60000,полный,Левый,1владелец,Оригинал,3400000
6,внедорожник 5 дв.,чёрный,дизель,2014,5,2017,автоматическая,3.0 LTR,249 N12,56000,полный,Левый,2владельца,Оригинал,4200000
7,внедорожник 5 дв.,красный,бензин,2007,5,2011,автоматическая,3.0 LTR,306 N12,137963,полный,Левый,1владелец,Оригинал,1450000
8,внедорожник 5 дв.,чёрный,бензин,2014,5,2015,автоматическая,3.0 LTR,306 N12,220000,полный,Левый,1владелец,Оригинал,2650000
9,внедорожник 5 дв.,белый,дизель,2007,5,2010,автоматическая,3.0 LTR,306 N12,268400,полный,Левый,3 или более,Оригинал,1550000
10,внедорожник 5 дв.,чёрный,бензин,2012,5,2013,автоматическая,4.4 LTR,407 N12,141000,полный,Левый,1владелец,Оригинал,2300000
11,внедорожник 5 дв.,синий,бензин,2007,5,2008,автоматическая,4.4 LTR,407 N12,174000,полный,Левый,2владельца,Оригинал,1150000
12,внедорожник 5 дв.,чёрный,бензин,2007,5,2009,автоматическая,4.4 LTR,407 N12,154000,полный,Левый,3 или более,Оригинал,1500000
