,bodyType,color,fuelType,modelDate,numberOfDoors,productionDate,vehicleTransmission,engineDisplacement,enginePower,mileage,Привод,Руль,Владельцы,ПТС,price
0,седан,красный,бензин,1982,4,1984,механическая,1.8 LTR,105 N12,300000,задний,Левый,3 или более,Оригинал,200000
1,седан,серебристый,бензин,1998,4,2000,механическая,2.2 LTR,170 N12,354000,задний,Левый,3 или более,Оригинал,350000
2,седан,серый,бензин,2011,4,2014,автоматическая,1.6 LTR,136 N12,113000,задний,Левый,2владельца,Оригинал,1250000
3,седан,серый,бензин,2011,4,2015,автоматическая,1.6 LTR,136 N12,111000,задний,Левый,3 или более,Оригинал,1230000
4,седан,белый,бензин,1990,4,1996,механическая,1.6 LTR,102 N12,300000,задний,Левый,3 или более,Дубликат,120000
5,седан,зелёный,бензин,1990,4,1991,механическая,1.8 LTR,113 N12,400000,задний,Левый,1владелец,Дубликат,80000
6,седан,чёрный,бензин,2008,4,2009,автоматическая,2.0 LTR,136 N12,215000,задний,Левый,3 или более,Оригинал,600000
7,седан,синий,бензин,2001,4,2003,механическая,2.2 LTR,170 N12,244000,задний,Левый,1владелец,Дубликат,385000
8,седан,чёрный,бензин,2005,4,2006,автоматическая,2.5 LTR,218 N12,180000,задний,Левый,3 или более,Оригинал,550000
9,седан,чёрный,бензин,2008,4,2011,автоматическая,2.0 LTR,136 N12,175000,задний,Левый,3 или более,Оригинал,655000
10,седан,чёрный,бензин,1990,4,1998,механическая,1.9 LTR,140 N12,453000,задний,Левый,3 или более,Оригинал,295000
11,седан,серебристый,бензин,2005,4,2005,автоматическая,2.0 LTR,150 N12,124000,задний,Левый,3 или более,Оригинал,640000
12,седан,серебристый,бензин,2001,4,2001,автоматическая,2.2 LTR,170 N12,320000,задний,Левый,3 или более,Дубликат,335000
13,седан,серый,бензин,1998,4,2001,автоматическая,1.9 LTR,118 N12,250000,задний,Левый,3 или более,Оригинал,257000
14,седан,серебристый,бензин,1998,4,1998,механическая,1.9 LTR,118 N12,400000,задний,Левый,2владельца,Оригинал,250000
15,седан,белый,бензин,1998,4,2000,механическая,1.9 LTR,105 N12,300000,задний,Левый,3 или более,Оригинал,330000
16,седан,чёрный,бензин,1998,4,2000,автоматическая,1.9 LTR,118 N12,350000,задний,Левый,3 или более,Оригинал,330000
17,седан,серебристый,бензин,2008,4,2009,автоматическая,2.0 LTR,156 N12,180000,задний,Левый,3 или более,Дубликат,700000
18,седан,синий,бензин,1990,4,1997,механическая,1.6 LTR,102 N12,365000,задний,Левый,3 или более,Дубликат,150000
19,седан,чёрный,бензин,2008,4,2008,механическая,2.0 LTR,143 N12,176000,задний,Левый,3 или более,Оригинал,625000
20,седан,синий,бензин,2001,4,2002,автоматическая,2.2 LTR,170 N12,345000,задний,Левый,3 или более,Дубликат,410000
21,седан,чёрный,бензин,1998,4,2001,автоматическая,1.9 LTR,105 N12,160000,задний,Левый,2владельца,Дубликат,350000
22,седан,серый,бензин,2001,4,2002,автоматическая,2.0 LTR,143 N12,150123,задний,Левый,3 или более,Дубликат,345000
23,седан,чёрный,бензин,2008,4,2011,автоматическая,2.0 LTR,136 N12,173000,задний,Левый,1владелец,Оригинал,680000
24,седан,голубой,бензин,2001,4,2002,автоматическая,2.0 LTR,143 N12,124000,задний,Левый,3 или более,Оригинал,375000
