,bodyType,color,fuelType,modelDate,numberOfDoors,productionDate,vehicleTransmission,engineDisplacement,enginePower,mileage,Привод,Руль,Владельцы,ПТС,price
0,внедорожник 5 дв.,чёрный,бензин,2003,5,2004,автоматическая,3.0 LTR,231 N12,340000,полный,Левый,2владельца,Оригинал,700000
1,внедорожник 5 дв.,чёрный,дизель,2013,5,2017,автоматическая,3.0 LTR,249 N12,149599,полный,Левый,2владельца,Оригинал,3211000
2,внедорожник 5 дв.,серый,бензин,2010,5,2010,автоматическая,4.4 LTR,407 N12,132500,полный,Левый,1владелец,Оригинал,920000
3,внедорожник 5 дв.,чёрный,бензин,2010,5,2011,автоматическая,3.0 LTR,306 N12,314000,полный,Левый,2владельца,Оригинал,1100000
4,внедорожник 5 дв.,чёрный,бензин,1999,5,2002,автоматическая,3.0 LTR,231 N12,295000,полный,Левый,3 или более,Дубликат,565000
5,внедорожник 5 дв.,чёрный,бензин,2003,5,2006,автоматическая,4.4 LTR,320 N12,256500,полный,Левый,3 или более,Оригинал,600000
6,внедорожник 5 дв.,белый,бензин,2006,5,2008,автоматическая,3.0 LTR,272 N12,250000,полный,Левый,3 или более,Дубликат,750000
7,внедорожник 5 дв.,чёрный,дизель,2003,5,2004,автоматическая,3.0 LTR,218 N12,357000,полный,Левый,3 или более,Оригинал,990000
8,внедорожник 5 дв.,чёрный,бензин,2006,5,2008,автоматическая,3.0 LTR,272 N12,100000,полный,Левый,2владельца,Оригинал,1150000
9,внедорожник 5 дв.,чёрный,дизель,2010,5,2011,автоматическая,3.0 LTR,306 N12,239000,полный,Левый,3 или более,Оригинал,1550000
10,внедорожник 5 дв.,серый,бензин,2006,5,2008,автоматическая,3.0 LTR,264 N12,175000,полный,Левый,2владельца,Оригинал,800000
11,внедорожник 5 дв.,чёрный,бензин,2010,5,2010,автоматическая,3.0 LTR,306 N12,164000,полный,Левый,1владелец,Оригинал,1400000
12,внедорожник 5 дв.,белый,бензин,2010,5,2013,автоматическая,3.0 LTR,306 N12,56000,полный,Левый,3 или более,Оригинал,1900000
13,внедорожник 5 дв.,серый,дизель,2013,5,2013,автоматическая,3.0 LTR,249 N12,145000,полный,Левый,2владельца,Оригинал,2495000
14,внедорожник 5 дв.,чёрный,бензин,2006,5,2007,автоматическая,4.8 LTR,355 N12,130355,полный,Левый,2владельца,Оригинал,850000
15,внедорожник 5 дв.,чёрный,бензин,2006,5,2007,автоматическая,3.0 LTR,264 N12,210000,полный,Левый,3 или более,Оригинал,790000
16,внедорожник 5 дв.,зелёный,бензин,2006,5,2007,автоматическая,4.8 LTR,355 N12,270000,полный,Левый,3 или более,Оригинал,1400000
17,внедорожник 5 дв.,серый,дизель,2018,5,2019,автоматическая,3.0 LTR,249 N12,7000,полный,Левый,1владелец,Оригинал,6500000
18,внедорожник 5 дв.,чёрный,дизель,2013,5,2017,автоматическая,3.0 LTR,218 N12,34000,полный,Левый,1владелец,Оригинал,3400000
19,внедорожник 5 дв.,чёрный,дизель,2013,5,2017,автоматическая,3.0 LTR,313 N12,79939,полный,Левый,2владельца,Оригинал,3964000
20,внедорожник 5 дв.,белый,бензин,2010,5,2010,автоматическая,3.0 LTR,306 N12,159000,полный,Левый,2владельца,Оригинал,1200000
21,внедорожник 5 дв.,зелёный,бензин,2003,5,2005,автоматическая,3.0 LTR,231 N12,286000,полный,Левый,3 или более,Оригинал,600000
22,внедорожник 5 дв.,белый,дизель,2013,5,2014,автоматическая,3.0 LTR,313 N12,160000,полный,Левый,3 или более,Оригинал,2800000
23,внедорожник 5 дв.,чёрный,бензин,2013,5,2014,автоматическая,3.0 LTR,306 N12,67000,полный,Левый,1владелец,Оригинал,2950000
24,внедорожник 5 дв.,чёрный,дизель,2006,5,2009,автоматическая,3.0 LTR,235 N12,223000,полный,Левый,2владельца,Оригинал,1300000
25,внедорожник 5 дв.,чёрный,бензин,1999,5,2000,механическая,3.0 LTR,231 N12,378000,полный,Левый,3 или более,Оригинал,500000
26,внедорожник 5 дв.,синий,дизель,2013,5,2018,автоматическая,3.0 LTR,218 N12,46700,полный,Левый,2владельца,Оригинал,3490000
27,внедорожник 5 дв.,белый,бензин,2006,5,2009,автоматическая,3.0 LTR,272 N12,208000,полный,Левый,3 или более,Оригинал,825000
28,внедорожник 5 дв.,белый,бензин,2003,5,2004,автоматическая,3.0 LTR,231 N12,216000,полный,Левый,3 или более,Дубликат,730000
29,внедорожник 5 дв.,чёрный,дизель,2006,5,2007,автоматическая,3.0 LTR,235 N12,300000,полный,Левый,3 или более,Оригинал,1290000
30,внедорожник 5 дв.,чёрный,дизель,2010,5,2010,автоматическая,3.0 LTR,306 N12,286000,полный,Левый,2владельца,Оригинал,1500000
31,внедорожник 5 дв.,белый,дизель,2010,5,2011,автоматическая,3.0 LTR,306 N12,147000,полный,Левый,3 или более,Оригинал,1600000
32,внедорожник 5 дв.,коричневый,дизель,2010,5,2011,автоматическая,3.0 LTR,245 N12,118965,полный,Левый,1владелец,Оригинал,1600000
33,внедорожник 5 дв.,серый,дизель,2013,5,2017,автоматическая,3.0 LTR,249 N12,72000,полный,Левый,1владелец,Оригинал,3700000
34,внедорожник 5 дв.,серый,дизель,2006,5,2007,автоматическая,3.0 LTR,235 N12,201500,полный,Левый,3 или более,Дубликат,980000
35,внедорожник 5 дв.,чёрный,бензин,2003,5,2004,автоматическая,3.0 LTR,231 N12,250000,полный,Левый,3 или более,Оригинал,550000
36,внедорожник 5 дв.,чёрный,бензин,2006,5,2009,автоматическая,3.0 LTR,272 N12,163000,полный,Левый,3 или более,Оригинал,1390000
37,внедорожник 5 дв.,белый,дизель,2010,5,2013,автоматическая,3.0 LTR,245 N12,51000,полный,Левый,2владельца,Оригинал,1990000
38,внедорожник 5 дв.,белый,бензин,2010,5,2013,автоматическая,3.0 LTR,306 N12,175000,полный,Левый,3 или более,Дубликат,1400000
39,внедорожник 5 дв.,зелёный,бензин,2003,5,2005,автоматическая,3.0 LTR,231 N12,378000,полный,Левый,2владельца,Оригинал,590000
40,внедорожник 5 дв.,серый,дизель,2003,5,2004,автоматическая,3.0 LTR,218 N12,340000,полный,Левый,3 или более,Дубликат,550000
41,внедорожник 5 дв.,чёрный,дизель,2010,5,2011,автоматическая,3.0 LTR,306 N12,180300,полный,Левый,3 или более,Оригинал,1540000
42,внедорожник 5 дв.,чёрный,бензин,2003,5,2004,автоматическая,4.4 LTR,320 N12,190000,полный,Левый,1владелец,Оригинал,999999
43,внедорожник 5 дв.,чёрный,бензин,2003,5,2004,автоматическая,3.0 LTR,231 N12,217000,полный,Левый,3 или более,Дубликат,670000
44,внедорожник 5 дв.,чёрный,дизель,1999,5,2003,автоматическая,2.9 LTR,184 N12,238000,полный,Левый,3 или более,Оригинал,650000
45,внедорожник 5 дв.,серый,бензин,1999,5,2002,автоматическая,3.0 LTR,231 N12,265000,полный,Левый,3 или более,Оригинал,530000
46,внедорожник 5 дв.,синий,бензин,2003,5,2004,автоматическая,3.0 LTR,231 N12,152000,полный,Левый,3 или более,Оригинал,670000
47,внедорожник 5 дв.,чёрный,бензин,2003,5,2004,автоматическая,3.0 LTR,231 N12,287000,полный,Левый,2владельца,Оригинал,597000
48,внедорожник 5 дв.,чёрный,дизель,2006,5,2008,автоматическая,3.0 LTR,235 N12,291728,полный,Левый,2владельца,Оригинал,1270000
49,внедорожник 5 дв.,чёрный,бензин,2010,5,2012,автоматическая,4.4 LTR,407 N12,160000,полный,Левый,3 или более,Оригинал,1350000
50,внедорожник 5 дв.,серый,бензин,2013,5,2015,автоматическая,3.0 LTR,306 N12,109000,полный,Левый,3 или более,Оригинал,2649000
51,внедорожник 5 дв.,белый,бензин,2010,5,2013,автоматическая,3.0 LTR,306 N12,70000,полный,Левый,2владельца,Оригинал,1599000
52,внедорожник 5 дв.,белый,дизель,2013,5,2017,автоматическая,2.0 LTR,218 N12,49800,полный,Левый,1владелец,Оригинал,3350000
53,внедорожник 5 дв.,чёрный,дизель,2006,5,2007,автоматическая,3.0 LTR,235 N12,203000,полный,Левый,1владелец,Оригинал,1200000
54,внедорожник 5 дв.,чёрный,дизель,2006,5,2007,автоматическая,3.0 LTR,235 N12,238000,полный,Левый,3 или более,Оригинал,920000
55,внедорожник 5 дв.,серый,бензин,2003,5,2005,автоматическая,3.0 LTR,231 N12,220000,полный,Левый,3 или более,Оригинал,635000
56,внедорожник 5 дв.,чёрный,дизель,2006,5,2008,автоматическая,3.0 LTR,286 N12,280000,полный,Левый,3 или более,Оригинал,1080000
57,внедорожник 5 дв.,серебристый,бензин,2003,5,2003,автоматическая,3.0 LTR,231 N12,250000,полный,Левый,3 или более,Оригинал,450000
58,внедорожник 5 дв.,серый,дизель,2010,5,2012,автоматическая,3.0 LTR,245 N12,240000,полный,Левый,2владельца,Оригинал,1650000
59,внедорожник 5 дв.,чёрный,бензин,2006,5,2007,автоматическая,4.8 LTR,355 N12,90938,полный,Левый,1владелец,Оригинал,1100000
60,внедорожник 5 дв.,чёрный,дизель,2006,5,2009,автоматическая,3.0 LTR,286 N12,266411,полный,Левый,3 или более,Оригинал,1100000
61,внедорожник 5 дв.,зелёный,бензин,2003,5,2005,автоматическая,3.0 LTR,231 N12,303000,полный,Левый,3 или более,Оригинал,599000
62,внедорожник 5 дв.,серый,бензин,2003,5,2004,автоматическая,4.4 LTR,329 N12,200000,полный,Левый,3 или более,Оригинал,700000
63,внедорожник 5 дв.,серый,дизель,2010,5,2010,автоматическая,3.0 LTR,245 N12,244500,полный,Левый,3 или более,Дубликат,1599000
64,внедорожник 5 дв.,чёрный,дизель,2006,5,2008,автоматическая,3.0 LTR,286 N12,260000,полный,Левый,2владельца,Оригинал,1240248
