,bodyType,color,fuelType,modelDate,numberOfDoors,productionDate,vehicleTransmission,engineDisplacement,enginePower,mileage,Привод,Руль,Владельцы,ПТС,price
0,купе,красный,бензин,2007,2,2008,автоматическая,3.0 LTR,218 N12,175000,задний,Левый,3 или более,Оригинал,930000
1,хэтчбек 5 дв.,синий,бензин,2011,5,2013,автоматическая,3.0 LTR,320 N12,105000,полный,Левый,3 или более,Дубликат,1690000
2,хэтчбек 5 дв.,серебристый,бензин,2011,5,2014,автоматическая,3.0 LTR,320 N12,46862,полный,Левый,3 или более,Оригинал,1850000
3,хэтчбек 5 дв.,белый,бензин,2011,5,2012,автоматическая,1.6 LTR,136 N12,153596,задний,Левый,3 или более,Оригинал,670000
4,хэтчбек 3 дв.,синий,бензин,2011,3,2012,автоматическая,3.0 LTR,320 N12,94036,задний,Левый,3 или более,Дубликат,1675000
5,хэтчбек 5 дв.,синий,бензин,2011,5,2012,автоматическая,1.6 LTR,136 N12,140000,задний,Левый,2владельца,Оригинал,825000
6,хэтчбек 5 дв.,белый,бензин,2007,5,2010,автоматическая,1.6 LTR,115 N12,201000,задний,Левый,3 или более,Оригинал,500000
7,купе,белый,бензин,2007,2,2010,автоматическая,2.0 LTR,156 N12,145767,задний,Левый,3 или более,Дубликат,637000
8,хэтчбек 5 дв.,белый,бензин,2015,5,2016,автоматическая,1.5 LTR,136 N12,140000,задний,Левый,3 или более,Оригинал,1099000
9,хэтчбек 5 дв.,синий,бензин,2011,5,2012,автоматическая,1.6 LTR,170 N12,105594,задний,Левый,2владельца,Оригинал,910000
10,хэтчбек 5 дв.,синий,бензин,2017,5,2018,автоматическая,1.5 LTR,136 N12,34154,задний,Левый,2владельца,Оригинал,1549000
11,хэтчбек 5 дв.,белый,бензин,2017,5,2018,автоматическая,1.5 LTR,136 N12,69000,задний,Левый,2владельца,Оригинал,1499000
12,хэтчбек 5 дв.,чёрный,бензин,2007,5,2011,автоматическая,1.6 LTR,115 N12,121237,задний,Левый,2владельца,Оригинал,575000
13,хэтчбек 3 дв.,белый,бензин,2007,3,2011,автоматическая,1.6 LTR,115 N12,118741,задний,Левый,2владельца,Оригинал,549000
14,хэтчбек 5 дв.,чёрный,бензин,2017,5,2017,автоматическая,1.5 LTR,136 N12,75391,задний,Левый,1владелец,Оригинал,1525000
15,хэтчбек 5 дв.,белый,бензин,2011,5,2013,автоматическая,1.6 LTR,136 N12,87000,задний,Левый,2владельца,Оригинал,770000
16,хэтчбек 5 дв.,белый,бензин,2011,5,2013,автоматическая,1.6 LTR,136 N12,114746,задний,Левый,1владелец,Оригинал,819000
17,хэтчбек 5 дв.,синий,бензин,2017,5,2019,автоматическая,1.5 LTR,136 N12,21340,задний,Левый,1владелец,Оригинал,1897000
18,хэтчбек 3 дв.,чёрный,бензин,2007,3,2009,автоматическая,2.0 LTR,122 N12,138193,задний,Левый,3 или более,Оригинал,597000
19,хэтчбек 5 дв.,синий,бензин,2011,5,2012,автоматическая,1.6 LTR,136 N12,128000,задний,Левый,2владельца,Оригинал,
20,хэтчбек 5 дв.,красный,бензин,2007,5,2009,автоматическая,1.6 LTR,115 N12,100000,задний,Левый,3 или более,Оригинал,545000
21,хэтчбек 5 дв.,чёрный,бензин,2007,5,2008,автоматическая,1.6 LTR,115 N12,159625,задний,Левый,2владельца,Оригинал,425000
22,хэтчбек 5 дв.,белый,бензин,2015,5,2017,автоматическая,1.5 LTR,136 N12,61744,задний,Левый,1владелец,Оригинал,1439000
23,купе,чёрный,дизель,2007,2,2008,автоматическая,2.0 LTR,177 N12,44293,задний,Левый,1владелец,Оригинал,999000
24,хэтчбек 5 дв.,чёрный,бензин,2015,5,2016,автоматическая,1.5 LTR,136 N12,56000,задний,Левый,3 или более,Дубликат,1115000
25,хэтчбек 5 дв.,чёрный,бензин,2007,5,2010,автоматическая,1.6 LTR,115 N12,93523,задний,Левый,2владельца,Дубликат,590000
26,хэтчбек 5 дв.,красный,бензин,2011,5,2012,автоматическая,1.6 LTR,136 N12,116000,задний,Левый,3 или более,Оригинал,750000
27,хэтчбек 5 дв.,синий,дизель,2017,5,2017,автоматическая,2.0 LTR,190 N12,85275,полный,Левый,2владельца,Оригинал,1987000
28,хэтчбек 5 дв.,белый,бензин,2011,5,2012,автоматическая,1.6 LTR,136 N12,118000,задний,Левый,2владельца,Оригинал,790000
29,хэтчбек 5 дв.,белый,бензин,2015,5,2016,автоматическая,1.5 LTR,136 N12,34377,задний,Левый,3 или более,Оригинал,1180000
30,хэтчбек 5 дв.,белый,бензин,2011,5,2011,автоматическая,1.6 LTR,136 N12,176069,задний,Левый,3 или более,Дубликат,770000
31,хэтчбек 5 дв.,серебристый,дизель,2011,5,2011,автоматическая,2.0 LTR,184 N12,155650,задний,Левый,2владельца,Оригинал,1197000
32,хэтчбек 5 дв.,белый,бензин,2011,5,2012,автоматическая,1.6 LTR,136 N12,140000,задний,Левый,1владелец,Оригинал,849900
33,хэтчбек 5 дв.,белый,бензин,2015,5,2016,автоматическая,1.5 LTR,136 N12,36742,задний,Левый,1владелец,Оригинал,1427000
34,хэтчбек 5 дв.,серый,бензин,2004,5,2006,автоматическая,2.0 LTR,150 N12,126000,задний,Левый,3 или более,Оригинал,520000
35,хэтчбек 3 дв.,чёрный,бензин,2007,3,2011,автоматическая,1.6 LTR,115 N12,104208,задний,Левый,3 или более,Оригинал,560000
36,хэтчбек 5 дв.,чёрный,дизель,2011,5,2011,автоматическая,2.0 LTR,184 N12,197000,задний,Левый,2владельца,Оригинал,1050000
37,хэтчбек 5 дв.,белый,бензин,2015,5,2016,автоматическая,1.5 LTR,136 N12,53000,задний,Левый,1владелец,Оригинал,1300000
38,хэтчбек 5 дв.,белый,бензин,2015,5,2016,автоматическая,1.5 LTR,136 N12,53000,задний,Левый,1владелец,Оригинал,1300000
39,хэтчбек 5 дв.,серебристый,дизель,2004,5,2004,механическая,2.0 LTR,122 N12,245294,задний,Левый,3 или более,Оригинал,549000
40,хэтчбек 5 дв.,белый,бензин,2011,5,2012,автоматическая,1.6 LTR,136 N12,219000,задний,Левый,2владельца,Оригинал,630000
41,хэтчбек 5 дв.,чёрный,бензин,2007,5,2011,автоматическая,1.6 LTR,115 N12,189000,задний,Левый,3 или более,Оригинал,565000
42,хэтчбек 5 дв.,белый,бензин,2007,5,2011,автоматическая,1.6 LTR,115 N12,84900,задний,Левый,2владельца,Оригинал,615000
43,купе,красный,бензин,2007,2,2008,автоматическая,3.0 LTR,218 N12,175000,задний,Левый,3 или более,Оригинал,930000
44,хэтчбек 5 дв.,чёрный,бензин,2011,5,2013,автоматическая,1.6 LTR,136 N12,96000,задний,Левый,2владельца,Оригинал,830000
45,хэтчбек 5 дв.,чёрный,бензин,2007,5,2011,автоматическая,2.0 LTR,136 N12,118001,задний,Левый,2владельца,Оригинал,555000
46,хэтчбек 5 дв.,белый,бензин,2017,5,2019,автоматическая,3.0 LTR,340 N12,3700,полный,Левый,1владелец,Оригинал,3390000
47,хэтчбек 3 дв.,белый,дизель,2007,3,2008,автоматическая,2.0 LTR,177 N12,199900,задний,Левый,3 или более,Дубликат,495000
48,хэтчбек 5 дв.,белый,бензин,2011,5,2012,автоматическая,1.6 LTR,170 N12,149300,задний,Левый,3 или более,Оригинал,640000
49,хэтчбек 5 дв.,синий,бензин,2011,5,2013,автоматическая,1.6 LTR,136 N12,137100,задний,Левый,2владельца,Оригинал,815000
50,хэтчбек 3 дв.,чёрный,бензин,2007,3,2010,автоматическая,1.6 LTR,115 N12,161000,задний,Левый,3 или более,Дубликат,485000
51,хэтчбек 5 дв.,белый,бензин,2011,5,2013,автоматическая,1.6 LTR,136 N12,178000,задний,Левый,2владельца,Оригинал,780000
52,хэтчбек 5 дв.,синий,бензин,2011,5,2013,автоматическая,3.0 LTR,320 N12,105000,полный,Левый,3 или более,Дубликат,1690000
53,хэтчбек 5 дв.,белый,бензин,2017,5,2019,автоматическая,1.5 LTR,136 N12,43000,задний,Левый,1владелец,Оригинал,1780000
54,хэтчбек 5 дв.,синий,бензин,2017,5,2018,автоматическая,1.5 LTR,136 N12,9200,задний,Левый,1владелец,Оригинал,1830000
55,хэтчбек 5 дв.,синий,бензин,2011,5,2013,автоматическая,1.6 LTR,136 N12,144000,задний,Левый,3 или более,Оригинал,750000
56,хэтчбек 5 дв.,белый,бензин,2011,5,2013,автоматическая,1.6 LTR,136 N12,106392,задний,Левый,3 или более,Дубликат,759000
57,хэтчбек 5 дв.,чёрный,бензин,2011,5,2012,автоматическая,1.6 LTR,170 N12,194904,задний,Левый,3 или более,Оригинал,739000
58,хэтчбек 5 дв.,чёрный,дизель,2007,5,2008,автоматическая,2.0 LTR,177 N12,166034,задний,Левый,3 или более,Дубликат,565000
59,хэтчбек 5 дв.,белый,бензин,2011,5,2014,автоматическая,1.6 LTR,136 N12,81434,задний,Левый,2владельца,Оригинал,985000
60,хэтчбек 3 дв.,чёрный,бензин,2007,3,2010,автоматическая,2.0 LTR,136 N12,190544,задний,Левый,3 или более,Дубликат,510000
61,хэтчбек 5 дв.,белый,бензин,2011,5,2012,автоматическая,1.6 LTR,136 N12,99500,задний,Левый,3 или более,Оригинал,820000
62,хэтчбек 5 дв.,белый,бензин,2015,5,2017,автоматическая,1.5 LTR,136 N12,66684,задний,Левый,1владелец,Оригинал,1480598
63,хэтчбек 3 дв.,белый,бензин,2011,3,2013,автоматическая,1.6 LTR,170 N12,162474,задний,Левый,3 или более,Оригинал,768000
64,хэтчбек 5 дв.,чёрный,бензин,2011,5,2012,автоматическая,1.6 LTR,136 N12,167447,задний,Левый,3 или более,Дубликат,779000
65,хэтчбек 5 дв.,красный,бензин,2017,5,2019,автоматическая,1.5 LTR,136 N12,28579,задний,Левый,2владельца,Оригинал,1898000
66,хэтчбек 5 дв.,оранжевый,бензин,2011,5,2012,автоматическая,1.6 LTR,136 N12,159000,задний,Левый,2владельца,Оригинал,780000
67,хэтчбек 5 дв.,красный,бензин,2011,5,2011,автоматическая,1.6 LTR,170 N12,192200,задний,Левый,3 или более,Дубликат,725000
68,хэтчбек 5 дв.,чёрный,бензин,2017,5,2018,автоматическая,1.5 LTR,136 N12,51000,задний,Левый,1владелец,Оригинал,1545000
69,хэтчбек 5 дв.,чёрный,бензин,2015,5,2015,автоматическая,1.5 LTR,136 N12,55958,задний,Левый,3 или более,Оригинал,1178000
70,хэтчбек 5 дв.,серый,дизель,2007,5,2008,автоматическая,2.0 LTR,143 N12,109358,задний,Левый,2владельца,Оригинал,569000
71,купе,белый,бензин,2007,2,2010,автоматическая,3.0 LTR,306 N12,150000,задний,Левый,3 или более,Дубликат,1080000
72,хэтчбек 5 дв.,чёрный,бензин,2007,5,2010,автоматическая,2.0 LTR,136 N12,125631,задний,Левый,3 или более,Дубликат,647000
73,хэтчбек 5 дв.,белый,бензин,2007,5,2010,автоматическая,1.6 LTR,115 N12,219540,задний,Левый,2владельца,Оригинал,530000
74,хэтчбек 5 дв.,белый,бензин,2011,5,2013,автоматическая,1.6 LTR,136 N12,134000,задний,Левый,3 или более,Оригинал,735000
75,хэтчбек 5 дв.,белый,бензин,2011,5,2013,автоматическая,1.6 LTR,136 N12,144843,задний,Левый,1владелец,Дубликат,822000
