,bodyType,color,fuelType,modelDate,numberOfDoors,productionDate,vehicleTransmission,engineDisplacement,enginePower,mileage,Привод,Руль,Владельцы,ПТС,price
0,внедорожник 5 дв.,чёрный,бензин,2003,5,2005,автоматическая,4.4 LTR,320 N12,170000,полный,Левый,3 или более,Оригинал,700000
1,внедорожник 5 дв.,серебристый,бензин,2003,5,2004,автоматическая,3.0 LTR,231 N12,207000,полный,Левый,3 или более,Дубликат,570000
2,внедорожник 5 дв.,бежевый,бензин,2010,5,2011,автоматическая,3.0 LTR,306 N12,224264,полный,Левый,2владельца,Оригинал,1250000
3,внедорожник 5 дв.,серый,бензин,1999,5,2000,автоматическая,4.4 LTR,286 N12,286000,полный,Левый,2владельца,Оригинал,450000
4,внедорожник 5 дв.,чёрный,бензин,2010,5,2011,автоматическая,4.4 LTR,407 N12,106000,полный,Левый,3 или более,Дубликат,1550000
5,внедорожник 5 дв.,чёрный,бензин,2006,5,2008,автоматическая,4.8 LTR,355 N12,223000,полный,Левый,3 или более,Дубликат,850000
6,внедорожник 5 дв.,белый,бензин,2010,5,2013,автоматическая,3.0 LTR,306 N12,105000,полный,Левый,2владельца,Оригинал,1650000
7,внедорожник 5 дв.,чёрный,бензин,2013,5,2014,автоматическая,3.0 LTR,306 N12,132700,полный,Левый,1владелец,Оригинал,2443362
8,внедорожник 5 дв.,серебристый,бензин,1999,5,2001,автоматическая,4.4 LTR,286 N12,180000,полный,Левый,2владельца,Оригинал,490000
9,внедорожник 5 дв.,синий,бензин,1999,5,2001,автоматическая,4.4 LTR,286 N12,400000,полный,Левый,3 или более,Оригинал,450000
10,внедорожник 5 дв.,чёрный,бензин,1999,5,2002,автоматическая,3.0 LTR,231 N12,265000,полный,Левый,2владельца,Оригинал,490000
11,внедорожник 5 дв.,чёрный,бензин,2003,5,2005,автоматическая,3.0 LTR,231 N12,208595,полный,Левый,3 или более,Оригинал,600000
12,внедорожник 5 дв.,чёрный,бензин,2003,5,2004,автоматическая,3.0 LTR,231 N12,220000,полный,Левый,1владелец,Оригинал,710000
13,внедорожник 5 дв.,синий,бензин,2010,5,2012,автоматическая,4.4 LTR,407 N12,113000,полный,Левый,3 или более,Оригинал,1850000
14,внедорожник 5 дв.,белый,бензин,2003,5,2005,автоматическая,4.4 LTR,320 N12,295000,полный,Левый,3 или более,Оригинал,750000
15,внедорожник 5 дв.,белый,бензин,2003,5,2003,автоматическая,3.0 LTR,231 N12,245000,полный,Левый,3 или более,Оригинал,550000
16,внедорожник 5 дв.,чёрный,бензин,2006,5,2007,автоматическая,3.0 LTR,272 N12,286037,полный,Левый,2владельца,Оригинал,950000
17,внедорожник 5 дв.,серый,бензин,2006,5,2008,автоматическая,4.8 LTR,355 N12,180000,полный,Левый,3 или более,Оригинал,1150000
18,внедорожник 5 дв.,чёрный,бензин,2003,5,2004,автоматическая,3.0 LTR,231 N12,375000,полный,Левый,3 или более,Дубликат,670000
19,внедорожник 5 дв.,серебристый,бензин,2006,5,2007,автоматическая,4.8 LTR,355 N12,164000,полный,Левый,3 или более,Дубликат,1190000
20,внедорожник 5 дв.,чёрный,бензин,2003,5,2004,автоматическая,3.0 LTR,231 N12,270000,полный,Левый,2владельца,Оригинал,590000
21,внедорожник 5 дв.,серый,бензин,2006,5,2008,автоматическая,3.0 LTR,272 N12,265000,полный,Левый,3 или более,Оригинал,800000
22,внедорожник 5 дв.,белый,дизель,2013,5,2017,автоматическая,3.0 LTR,218 N12,80000,полный,Левый,2владельца,Оригинал,3190000
23,внедорожник 5 дв.,белый,бензин,2013,5,2015,автоматическая,3.0 LTR,306 N12,95000,полный,Левый,3 или более,Оригинал,2680000
24,внедорожник 5 дв.,серый,бензин,2003,5,2006,автоматическая,3.0 LTR,231 N12,340000,полный,Левый,3 или более,Оригинал,750000
25,внедорожник 5 дв.,чёрный,бензин,2010,5,2011,автоматическая,3.0 LTR,306 N12,104571,полный,Левый,3 или более,Оригинал,1450000
26,внедорожник 5 дв.,чёрный,дизель,2013,5,2015,автоматическая,3.0 LTR,381 N12,127000,полный,Левый,1владелец,Оригинал,4000000
27,внедорожник 5 дв.,серебристый,бензин,1999,5,2002,автоматическая,3.0 LTR,231 N12,128375,полный,Левый,3 или более,Дубликат,650000
28,внедорожник 5 дв.,серебристый,бензин,2006,5,2008,автоматическая,3.0 LTR,272 N12,209000,полный,Левый,3 или более,Оригинал,910000
29,внедорожник 5 дв.,белый,дизель,2013,5,2014,автоматическая,3.0 LTR,381 N12,160000,полный,Левый,2владельца,Оригинал,3300000
30,внедорожник 5 дв.,серебристый,бензин,2006,5,2008,автоматическая,3.0 LTR,264 N12,212000,полный,Левый,3 или более,Оригинал,900000
31,внедорожник 5 дв.,чёрный,бензин,2006,5,2008,автоматическая,3.0 LTR,264 N12,126000,полный,Левый,3 или более,Дубликат,1300000
32,внедорожник 5 дв.,синий,бензин,2003,5,2005,автоматическая,4.4 LTR,320 N12,286000,полный,Левый,3 или более,Оригинал,699000
33,внедорожник 5 дв.,серебристый,бензин,2003,5,2004,автоматическая,4.4 LTR,320 N12,277777,полный,Левый,3 или более,Дубликат,570000
34,внедорожник 5 дв.,чёрный,бензин,1999,5,2002,автоматическая,3.0 LTR,231 N12,265000,полный,Левый,1владелец,Дубликат,485000
35,внедорожник 5 дв.,серый,бензин,2006,5,2007,автоматическая,4.8 LTR,355 N12,263000,полный,Левый,3 или более,Оригинал,1200000
36,внедорожник 5 дв.,серый,бензин,2010,5,2011,автоматическая,3.0 LTR,306 N12,188000,полный,Левый,3 или более,Оригинал,1399000
37,внедорожник 5 дв.,серый,бензин,2003,5,2004,автоматическая,3.0 LTR,231 N12,250000,полный,Левый,3 или более,Дубликат,550000
38,внедорожник 5 дв.,чёрный,дизель,2013,5,2016,автоматическая,3.0 LTR,218 N12,172000,полный,Левый,2владельца,Оригинал,2600000
39,внедорожник 5 дв.,белый,бензин,2006,5,2009,автоматическая,3.0 LTR,272 N12,150000,полный,Левый,3 или более,Оригинал,1100000
40,внедорожник 5 дв.,чёрный,бензин,2006,5,2008,автоматическая,4.8 LTR,355 N12,230000,полный,Левый,3 или более,Оригинал,950000
41,внедорожник 5 дв.,чёрный,бензин,1999,5,2002,автоматическая,3.0 LTR,231 N12,345970,полный,Левый,3 или более,Оригинал,415000
42,внедорожник 5 дв.,чёрный,бензин,1999,5,2002,автоматическая,4.4 LTR,286 N12,250000,полный,Левый,3 или более,Дубликат,440000
43,внедорожник 5 дв.,чёрный,бензин,2006,5,2009,автоматическая,3.0 LTR,272 N12,232000,полный,Левый,3 или более,Оригинал,1100000
44,внедорожник 5 дв.,серый,бензин,1999,5,2002,автоматическая,3.0 LTR,231 N12,261000,полный,Левый,3 или более,Дубликат,445000
45,внедорожник 5 дв.,белый,бензин,2013,5,2016,автоматическая,3.0 LTR,306 N12,86000,полный,Левый,2владельца,Оригинал,2900000
46,внедорожник 5 дв.,серебристый,бензин,2003,5,2003,автоматическая,3.0 LTR,231 N12,185000,полный,Левый,3 или более,Оригинал,550000
47,внедорожник 5 дв.,чёрный,бензин,1999,5,2001,автоматическая,3.0 LTR,231 N12,346000,полный,Левый,3 или более,Дубликат,470000
48,внедорожник 5 дв.,чёрный,бензин,2006,5,2007,автоматическая,3.0 LTR,264 N12,198000,полный,Левый,3 или более,Дубликат,1200000
49,внедорожник 5 дв.,серебристый,бензин,2003,5,2003,автоматическая,3.0 LTR,231 N12,235000,полный,Левый,3 или более,Дубликат,470000
50,внедорожник 5 дв.,чёрный,бензин,2003,5,2003,автоматическая,3.0 LTR,231 N12,332000,полный,Левый,2владельца,Оригинал,525000
