,bodyType,color,fuelType,modelDate,numberOfDoors,productionDate,vehicleTransmission,engineDisplacement,enginePower,mileage,Привод,Руль,Владельцы,ПТС,price
0,хэтчбек 5 дв.,белый,бензин,2011,5,2012,автоматическая,1.6 LTR,136 N12,132500,задний,Левый,2владельца,Оригинал,780000
1,хэтчбек 5 дв.,белый,дизель,2011,5,2011,автоматическая,2.0 LTR,184 N12,145700,задний,Левый,3 или более,Оригинал,1070000
2,хэтчбек 5 дв.,белый,бензин,2007,5,2010,автоматическая,1.6 LTR,115 N12,125000,задний,Левый,3 или более,Оригинал,557000
3,хэтчбек 5 дв.,синий,бензин,2011,5,2012,автоматическая,1.6 LTR,170 N12,137500,задний,Левый,3 или более,Дубликат,800000
4,хэтчбек 5 дв.,серый,бензин,2004,5,2005,автоматическая,2.0 LTR,129 N12,237000,задний,Левый,3 или более,Дубликат,385000
5,хэтчбек 3 дв.,белый,бензин,2007,3,2010,автоматическая,1.6 LTR,115 N12,152000,задний,Левый,3 или более,Оригинал,470000
6,хэтчбек 3 дв.,белый,бензин,2011,3,2013,автоматическая,1.6 LTR,136 N12,114000,задний,Левый,3 или более,Оригинал,765000
7,хэтчбек 5 дв.,бежевый,бензин,2007,5,2008,автоматическая,2.0 LTR,136 N12,120846,задний,Левый,3 или более,Оригинал,520000
8,хэтчбек 5 дв.,чёрный,бензин,2007,5,2011,автоматическая,1.6 LTR,115 N12,188321,задний,Левый,3 или более,Дубликат,475000
9,хэтчбек 5 дв.,чёрный,бензин,2011,5,2012,автоматическая,1.6 LTR,136 N12,142000,задний,Левый,3 или более,Дубликат,750000
10,хэтчбек 5 дв.,белый,бензин,2015,5,2017,автоматическая,1.5 LTR,136 N12,48000,задний,Левый,2владельца,Оригинал,1339000
11,хэтчбек 3 дв.,чёрный,бензин,2007,3,2010,автоматическая,2.0 LTR,136 N12,131000,задний,Левый,3 или более,Оригинал,515000
12,хэтчбек 5 дв.,белый,бензин,2011,5,2013,автоматическая,1.6 LTR,136 N12,122200,задний,Левый,3 или более,Оригинал,750000
13,хэтчбек 5 дв.,чёрный,бензин,2011,5,2013,автоматическая,1.6 LTR,136 N12,100250,задний,Левый,3 или более,Дубликат,797000
14,хэтчбек 3 дв.,белый,бензин,2007,3,2008,автоматическая,3.0 LTR,265 N12,160000,задний,Левый,3 или более,Дубликат,620000
15,хэтчбек 5 дв.,белый,бензин,2007,5,2009,автоматическая,1.6 LTR,115 N12,170000,задний,Левый,3 или более,Оригинал,420000
16,хэтчбек 5 дв.,белый,бензин,2007,5,2009,автоматическая,1.6 LTR,115 N12,180000,задний,Левый,3 или более,Дубликат,450000
17,хэтчбек 3 дв.,фиолетовый,бензин,2007,3,2011,автоматическая,1.6 LTR,115 N12,160000,задний,Левый,3 или более,Оригинал,600000
