,bodyType,color,fuelType,modelDate,numberOfDoors,productionDate,vehicleTransmission,engineDisplacement,enginePower,mileage,Привод,Руль,Владельцы,ПТС,price
0,седан,чёрный,бензин,1990,4,1993,механическая,1.8 LTR,115 N12,200000,задний,Левый,2владельца,Оригинал,85000
1,седан,белый,бензин,2011,4,2014,автоматическая,2.0 LTR,184 N12,159713,задний,Левый,2владельца,Оригинал,1600000
2,седан,серый,бензин,1998,4,2001,автоматическая,3.0 LTR,231 N12,222000,полный,Левый,3 или более,Оригинал,360000
3,седан,серебристый,бензин,2001,4,2003,автоматическая,1.8 LTR,115 N12,190000,задний,Левый,3 или более,Оригинал,370000
4,седан,чёрный,бензин,2005,4,2007,автоматическая,2.0 LTR,150 N12,223000,задний,Левый,3 или более,Дубликат,490000
5,седан,зелёный,бензин,1982,4,1984,механическая,2.0 LTR,125 N12,63000,задний,Левый,3 или более,Оригинал,85000
6,седан,красный,бензин,1990,4,1992,механическая,1.6 LTR,102 N12,300000,задний,Левый,3 или более,Оригинал,115000
7,седан,чёрный,бензин,2015,4,2018,автоматическая,1.5 LTR,136 N12,24000,задний,Левый,1владелец,Оригинал,1750000
8,седан,коричневый,бензин,2011,4,2014,автоматическая,1.6 LTR,136 N12,105000,задний,Левый,3 или более,Оригинал,1120000
9,седан,серебристый,бензин,2011,4,2013,автоматическая,1.6 LTR,136 N12,110000,задний,Левый,2владельца,Оригинал,1150000
10,лифтбек,чёрный,дизель,2015,5,2017,автоматическая,2.0 LTR,190 N12,155000,задний,Левый,1владелец,Оригинал,1999999
11,седан,чёрный,бензин,2008,4,2011,автоматическая,2.0 LTR,136 N12,75000,задний,Левый,3 или более,Оригинал,995000
12,седан,чёрный,бензин,1998,4,1999,механическая,1.9 LTR,118 N12,320000,задний,Левый,3 или более,Оригинал,250000
13,купе,чёрный,бензин,1998,2,2002,автоматическая,2.2 LTR,170 N12,220000,задний,Левый,3 или более,Оригинал,510000
14,седан,чёрный,дизель,2001,4,2002,автоматическая,2.9 LTR,184 N12,331133,задний,Левый,2владельца,Оригинал,470000
15,седан,чёрный,бензин,2005,4,2007,автоматическая,2.0 LTR,129 N12,200000,задний,Левый,3 или более,Оригинал,455000
16,купе,красный,бензин,1982,2,1983,механическая,1.8 LTR,113 N12,500000,задний,Левый,3 или более,Дубликат,200000
17,купе,серый,бензин,2005,2,2007,автоматическая,2.5 LTR,218 N12,118000,полный,Левый,3 или более,Оригинал,900000
18,седан,красный,бензин,2001,4,2001,автоматическая,2.2 LTR,170 N12,294422,задний,Левый,3 или более,Оригинал,290000
19,лифтбек,чёрный,бензин,2011,5,2013,автоматическая,2.0 LTR,184 N12,156000,полный,Левый,3 или более,Оригинал,1399000
20,универсал 5 дв.,белый,бензин,1982,5,1989,механическая,1.8 LTR,113 N12,255000,задний,Левый,3 или более,Дубликат,225000
21,седан,чёрный,бензин,1998,4,1999,механическая,1.9 LTR,105 N12,400000,задний,Левый,3 или более,Оригинал,275000
22,седан,белый,бензин,1982,4,1988,механическая,2.5 LTR,171 N12,250000,задний,Левый,3 или более,Оригинал,150000
23,лифтбек,коричневый,бензин,2015,5,2017,автоматическая,2.0 LTR,184 N12,72000,полный,Левый,1владелец,Оригинал,2150000
24,седан,чёрный,бензин,1998,4,1998,механическая,2.0 LTR,150 N12,150000,задний,Левый,3 или более,Оригинал,230000
25,седан,синий,бензин,2001,4,2001,механическая,2.0 LTR,143 N12,330000,задний,Левый,3 или более,Оригинал,290000
26,седан,белый,бензин,2011,4,2014,автоматическая,2.0 LTR,184 N12,103000,задний,Левый,3 или более,Оригинал,1280000
27,седан,серый,бензин,2008,4,2011,автоматическая,2.0 LTR,136 N12,140000,задний,Левый,3 или более,Дубликат,680000
28,седан,белый,бензин,2008,4,2011,автоматическая,2.0 LTR,136 N12,174000,задний,Левый,3 или более,Оригинал,750000
29,седан,чёрный,дизель,2015,4,2018,автоматическая,2.0 LTR,190 N12,37946,задний,Левый,1владелец,Оригинал,2220000
30,кабриолет,чёрный,бензин,2001,2,2003,автоматическая,3.0 LTR,231 N12,195000,задний,Левый,3 или более,Дубликат,900000
31,седан,синий,дизель,2018,4,2020,автоматическая,2.0 LTR,150 N12,11500,задний,Левый,2владельца,Оригинал,2700000
32,купе,красный,бензин,2005,2,2006,автоматическая,2.5 LTR,218 N12,180000,задний,Левый,3 или более,Дубликат,850000
33,седан,бежевый,дизель,2011,4,2012,автоматическая,2.0 LTR,184 N12,163287,задний,Левый,2владельца,Оригинал,1199000
34,седан,синий,бензин,2011,4,2014,автоматическая,2.0 LTR,184 N12,83400,задний,Левый,2владельца,Оригинал,1550000
35,седан,белый,бензин,2008,4,2009,автоматическая,2.0 LTR,156 N12,149000,задний,Левый,3 или более,Дубликат,665000
36,купе,белый,бензин,2008,2,2011,автоматическая,2.0 LTR,156 N12,143529,задний,Левый,3 или более,Оригинал,767000
37,лифтбек,серебристый,дизель,2015,5,2017,автоматическая,2.0 LTR,190 N12,89300,задний,Левый,2владельца,Оригинал,1850000
38,седан,серебристый,бензин,1998,4,1999,механическая,1.9 LTR,105 N12,480000,задний,Левый,3 или более,Дубликат,290000
39,седан,белый,дизель,2018,4,2019,автоматическая,2.0 LTR,190 N12,19000,полный,Левый,1владелец,Оригинал,2999000
40,седан,серый,бензин,1998,4,2001,автоматическая,2.5 LTR,192 N12,180000,задний,Левый,3 или более,,400000
41,седан,белый,бензин,2011,4,2013,автоматическая,1.6 LTR,136 N12,100000,задний,Левый,3 или более,Оригинал,1099999
42,седан,синий,бензин,1990,4,1992,механическая,1.8 LTR,113 N12,120000,задний,Левый,3 или более,Оригинал,550000
43,седан,белый,бензин,1982,4,1986,механическая,2.5 LTR,170 N12,249000,полный,Левый,3 или более,Дубликат,460000
44,седан,чёрный,дизель,2015,4,2016,автоматическая,2.0 LTR,190 N12,69000,полный,Левый,2владельца,Оригинал,1900000
45,седан,чёрный,бензин,2005,4,2005,автоматическая,2.5 LTR,218 N12,185000,задний,Левый,3 или более,Дубликат,460000
46,купе,оранжевый,бензин,1982,2,1983,механическая,1.8 LTR,90 N12,300000,задний,Левый,3 или более,Оригинал,220000
47,седан,чёрный,бензин,1998,4,2001,механическая,1.9 LTR,105 N12,196000,задний,Левый,2владельца,Оригинал,250000
48,седан,серебристый,бензин,2005,4,2006,автоматическая,2.5 LTR,218 N12,200000,задний,Левый,3 или более,Оригинал,500000
49,седан,золотистый,бензин,2005,4,2006,автоматическая,2.5 LTR,218 N12,295000,полный,Левый,3 или более,Дубликат,475000
50,седан,чёрный,дизель,2005,4,2008,механическая,2.0 LTR,143 N12,235000,задний,Левый,2владельца,Оригинал,550000
51,седан,чёрный,бензин,2008,4,2010,автоматическая,2.0 LTR,156 N12,125000,задний,Левый,3 или более,Дубликат,646000
52,седан,чёрный,бензин,2015,4,2018,автоматическая,2.0 LTR,184 N12,50000,полный,Левый,1владелец,Оригинал,2100000
53,седан,чёрный,бензин,2005,4,2008,автоматическая,2.5 LTR,218 N12,180000,задний,Левый,3 или более,Оригинал,650000
54,седан,серебристый,бензин,2015,4,2016,автоматическая,2.0 LTR,184 N12,45500,полный,Левый,1владелец,Оригинал,2200000
55,седан,синий,бензин,2011,4,2013,автоматическая,1.6 LTR,136 N12,170000,задний,Левый,3 или более,Оригинал,920000
56,седан,чёрный,дизель,2011,4,2013,автоматическая,2.0 LTR,184 N12,143875,полный,Левый,3 или более,Оригинал,
57,седан,чёрный,дизель,2005,4,2008,механическая,2.0 LTR,143 N12,180000,задний,Левый,3 или более,Оригинал,630000
58,лифтбек,белый,бензин,2011,5,2014,автоматическая,2.0 LTR,184 N12,137763,полный,Левый,1владелец,Оригинал,1399000
59,седан,коричневый,бензин,2011,4,2013,автоматическая,1.6 LTR,136 N12,108000,задний,Левый,3 или более,Оригинал,920000
60,универсал 5 дв.,серебристый,бензин,1990,5,1996,механическая,1.6 LTR,102 N12,215000,задний,Левый,2владельца,Оригинал,100000
61,седан 2 дв.,красный,бензин,1975,2,1981,механическая,1.6 LTR,75 N12,777777,задний,Левый,2владельца,Оригинал,200000
62,лифтбек,синий,дизель,2011,5,2014,автоматическая,2.0 LTR,184 N12,60000,полный,Левый,2владельца,Оригинал,2100000
63,седан,красный,бензин,2005,4,2008,автоматическая,2.0 LTR,136 N12,220000,задний,Левый,2владельца,Оригинал,500000
64,седан,белый,дизель,2015,4,2017,автоматическая,2.0 LTR,190 N12,66200,полный,Левый,2владельца,Оригинал,2050000
65,седан,синий,дизель,2005,4,2008,механическая,2.0 LTR,143 N12,210000,задний,Левый,3 или более,Оригинал,470000
66,седан,красный,бензин,1990,4,1996,механическая,1.8 LTR,115 N12,256000,задний,Левый,3 или более,Оригинал,240000
67,седан,чёрный,дизель,2015,4,2017,автоматическая,2.0 LTR,190 N12,50648,полный,Левый,1владелец,Оригинал,1919000
68,седан,серый,бензин,2011,4,2014,автоматическая,1.6 LTR,136 N12,155000,задний,Левый,3 или более,Оригинал,945000
69,седан,чёрный,бензин,2001,4,2002,автоматическая,2.0 LTR,143 N12,200017,задний,Левый,3 или более,Оригинал,370000
70,седан,синий,бензин,1990,4,1996,механическая,1.8 LTR,115 N12,350000,задний,Левый,3 или более,Оригинал,200000
71,седан,белый,бензин,2015,4,2016,автоматическая,2.0 LTR,184 N12,74998,полный,Левый,2владельца,Оригинал,1889000
72,седан,чёрный,бензин,2011,4,2015,автоматическая,1.6 LTR,136 N12,120000,задний,Левый,3 или более,Оригинал,1150000
73,седан,белый,бензин,2011,4,2013,автоматическая,1.6 LTR,136 N12,165830,задний,Левый,3 или более,Дубликат,915000
74,универсал 5 дв.,серебристый,дизель,2005,5,2006,механическая,2.0 LTR,163 N12,269000,задний,Левый,3 или более,Оригинал,510000
75,купе,синий,бензин,2008,2,2011,автоматическая,2.0 LTR,156 N12,82300,задний,Левый,2владельца,Оригинал,1100000
76,седан,белый,дизель,2018,4,2019,автоматическая,2.0 LTR,190 N12,26728,полный,Левый,1владелец,Оригинал,2949000
77,седан,чёрный,бензин,2011,4,2012,автоматическая,2.0 LTR,184 N12,130000,задний,Левый,2владельца,Оригинал,1020000
78,седан,серебристый,бензин,2008,4,2010,автоматическая,2.0 LTR,156 N12,140000,задний,Левый,3 или более,Оригинал,600000
79,седан,белый,бензин,2011,4,2013,автоматическая,2.0 LTR,184 N12,118000,задний,Левый,3 или более,Оригинал,1430000
80,седан,белый,бензин,2008,4,2011,автоматическая,2.0 LTR,136 N12,169058,задний,Левый,3 или более,Оригинал,685000
81,седан,белый,бензин,2008,4,2009,автоматическая,2.0 LTR,136 N12,235000,задний,Левый,3 или более,Оригинал,650000
82,седан,серый,бензин,1998,4,2000,механическая,1.9 LTR,105 N12,286000,задний,Левый,3 или более,Дубликат,260000
83,седан,чёрный,бензин,2008,4,2011,автоматическая,2.0 LTR,156 N12,113000,задний,Левый,3 или более,Оригинал,766666
84,седан,чёрный,бензин,2008,4,2010,автоматическая,2.0 LTR,136 N12,45000,задний,Левый,1владелец,Оригинал,1300000
85,седан,чёрный,дизель,2005,4,2007,автоматическая,2.0 LTR,163 N12,324000,задний,Левый,3 или более,Дубликат,675000
86,седан,серебристый,бензин,2001,4,2001,автоматическая,2.5 LTR,192 N12,275753,полный,Левый,3 или более,Оригинал,550000
87,седан,белый,бензин,1998,4,2000,автоматическая,1.9 LTR,118 N12,438000,задний,Левый,3 или более,Дубликат,210000
88,седан,белый,бензин,2008,4,2011,автоматическая,2.0 LTR,136 N12,166000,задний,Левый,2владельца,Оригинал,585000
89,седан,серый,бензин,2011,4,2014,автоматическая,1.6 LTR,136 N12,120000,задний,Левый,3 или более,Оригинал,1050000
90,купе,коричневый,бензин,1982,2,1984,механическая,1.8 LTR,105 N12,374358,задний,Левый,3 или более,Оригинал,150000
91,седан,чёрный,бензин,2008,4,2011,автоматическая,2.0 LTR,156 N12,250000,задний,Левый,3 или более,Оригинал,750000
92,седан,серебристый,бензин,1998,4,2000,автоматическая,1.9 LTR,118 N12,160000,задний,Левый,3 или более,Оригинал,250000
93,седан,белый,дизель,2011,4,2012,автоматическая,2.0 LTR,184 N12,102000,задний,Левый,2владельца,Оригинал,1399000
94,универсал 5 дв.,чёрный,бензин,1982,5,1989,механическая,2.0 LTR,129 N12,435100,задний,Левый,2владельца,Оригинал,170000
95,седан,синий,бензин,2015,4,2016,автоматическая,2.0 LTR,252 N12,57000,задний,Левый,2владельца,Оригинал,1970000
96,седан,синий,бензин,2005,4,2007,автоматическая,3.0 LTR,258 N12,111000,полный,Левый,3 или более,Оригинал,869699
97,купе,чёрный,бензин,2005,2,2008,автоматическая,3.0 LTR,306 N12,150000,задний,Левый,2владельца,Оригинал,1150000
98,седан,чёрный,бензин,2008,4,2008,автоматическая,2.0 LTR,156 N12,118000,задний,Левый,3 или более,Оригинал,640000
99,седан,белый,дизель,2015,4,2018,автоматическая,2.0 LTR,190 N12,49900,полный,Левый,1владелец,Оригинал,2300000
100,седан,зелёный,бензин,1998,4,2000,механическая,1.9 LTR,105 N12,179000,задний,Левый,3 или более,Дубликат,145000
101,седан,чёрный,бензин,2005,4,2008,автоматическая,2.5 LTR,218 N12,126780,задний,Левый,2владельца,Оригинал,700000
102,седан,чёрный,бензин,2011,4,2013,автоматическая,1.6 LTR,136 N12,122000,задний,Левый,3 или более,Оригинал,1050000
103,купе,чёрный,бензин,2005,2,2007,автоматическая,2.5 LTR,218 N12,100000,задний,Левый,1владелец,Оригинал,850000
104,седан,чёрный,бензин,2001,4,2002,автоматическая,2.5 LTR,192 N12,105000,задний,Левый,3 или более,Оригинал,480000
105,седан,серебристый,бензин,2005,4,2007,автоматическая,2.0 LTR,129 N12,180000,задний,Левый,3 или более,Оригинал,430000
106,седан,белый,бензин,2011,4,2013,автоматическая,2.0 LTR,184 N12,114000,задний,Левый,2владельца,Оригинал,1137000
107,седан,красный,бензин,2005,4,2008,автоматическая,2.0 LTR,156 N12,160000,задний,Левый,2владельца,Оригинал,475000
108,седан,серый,бензин,2005,4,2006,автоматическая,2.5 LTR,218 N12,216000,задний,Левый,3 или более,Оригинал,550000
109,седан,серый,дизель,2011,4,2012,автоматическая,2.0 LTR,184 N12,124000,задний,Левый,2владельца,Оригинал,1300000
110,седан,серебристый,бензин,2008,4,2009,автоматическая,2.0 LTR,136 N12,140000,задний,Левый,3 или более,Оригинал,710000
111,седан,чёрный,бензин,2015,4,2018,автоматическая,2.0 LTR,184 N12,17000,полный,Левый,1владелец,Оригинал,2120000
112,седан,фиолетовый,бензин,1990,4,1992,механическая,2.0 LTR,150 N12,250000,задний,Левый,3 или более,Оригинал,220000
113,кабриолет,бежевый,бензин,2005,2,2008,автоматическая,3.0 LTR,306 N12,161000,задний,Левый,3 или более,Дубликат,901079
114,седан,белый,бензин,2008,4,2011,автоматическая,2.0 LTR,156 N12,90000,задний,Левый,3 или более,Оригинал,800000
115,седан,чёрный,бензин,1990,4,1991,механическая,1.6 LTR,100 N12,300000,задний,Левый,3 или более,Дубликат,60000
116,универсал 5 дв.,чёрный,дизель,1998,5,2001,механическая,2.0 LTR,136 N12,307000,задний,Левый,3 или более,Оригинал,345000
117,седан,коричневый,бензин,2011,4,2011,автоматическая,2.0 LTR,245 N12,151000,задний,Левый,3 или более,Дубликат,1230000
118,седан,чёрный,дизель,2011,4,2014,автоматическая,2.0 LTR,184 N12,100000,полный,Левый,2владельца,Оригинал,1300000
119,седан,белый,бензин,2001,4,2002,механическая,3.0 LTR,231 N12,258000,задний,Левый,3 или более,Дубликат,390000
120,седан,чёрный,бензин,2015,4,2015,автоматическая,1.5 LTR,136 N12,108000,задний,Левый,3 или более,Оригинал,1230000
121,седан,зелёный,бензин,1998,4,1999,механическая,1.9 LTR,118 N12,405057,задний,Левый,3 или более,Оригинал,260000
122,седан,серебристый,бензин,2005,4,2008,автоматическая,2.0 LTR,150 N12,153538,задний,Левый,3 или более,Дубликат,520000
123,седан,белый,бензин,2011,4,2014,автоматическая,1.6 LTR,136 N12,90000,задний,Левый,3 или более,Дубликат,1070000
124,купе,белый,бензин,2008,2,2011,автоматическая,2.5 LTR,218 N12,226000,полный,Левый,1владелец,Оригинал,1070000
125,седан,чёрный,дизель,2011,4,2012,автоматическая,2.0 LTR,184 N12,165000,задний,Левый,3 или более,Дубликат,910000
126,лифтбек,синий,дизель,2015,5,2016,автоматическая,2.0 LTR,150 N12,127000,задний,Левый,1владелец,Оригинал,1550000
127,седан,чёрный,бензин,1990,4,1991,механическая,1.8 LTR,113 N12,440000,задний,Левый,3 или более,Оригинал,95000
128,седан,серебристый,бензин,2011,4,2013,автоматическая,2.0 LTR,184 N12,89000,задний,Левый,1владелец,Оригинал,1190000
129,седан,бежевый,бензин,2008,4,2009,автоматическая,2.0 LTR,136 N12,186000,задний,Левый,2владельца,Оригинал,500000
130,седан,белый,бензин,2008,4,2010,автоматическая,2.0 LTR,136 N12,126000,задний,Левый,3 или более,Оригинал,625000
131,купе,бежевый,бензин,2005,2,2008,автоматическая,2.0 LTR,156 N12,200000,задний,Левый,3 или более,Дубликат,570000
