,bodyType,color,fuelType,modelDate,numberOfDoors,productionDate,vehicleTransmission,engineDisplacement,enginePower,mileage,Привод,Руль,Владельцы,ПТС,price
0,хэтчбек 5 дв.,чёрный,бензин,2007,5,2008,автоматическая,1.6 LTR,115 N12,45000,задний,Левый,2владельца,Оригинал,620000
1,хэтчбек 5 дв.,белый,бензин,2007,5,2011,автоматическая,2.0 LTR,136 N12,160000,задний,Левый,3 или более,Оригинал,450000
2,хэтчбек 3 дв.,чёрный,бензин,2007,3,2010,автоматическая,1.6 LTR,115 N12,144000,задний,Левый,3 или более,Оригинал,400000
3,хэтчбек 5 дв.,чёрный,бензин,2007,5,2010,автоматическая,1.6 LTR,115 N12,161000,задний,Левый,3 или более,Оригинал,495000
4,хэтчбек 5 дв.,синий,бензин,2017,5,2018,автоматическая,1.5 LTR,136 N12,43000,задний,Левый,2владельца,Оригинал,1550000
5,хэтчбек 5 дв.,чёрный,бензин,2011,5,2012,автоматическая,1.6 LTR,136 N12,166000,задний,Левый,3 или более,Оригинал,580000
6,хэтчбек 5 дв.,серебристый,бензин,2004,5,2005,автоматическая,2.0 LTR,129 N12,237800,задний,Левый,1владелец,Оригинал,360000
7,хэтчбек 5 дв.,белый,бензин,2011,5,2012,механическая,1.6 LTR,136 N12,169000,задний,Левый,3 или более,Оригинал,570000
8,хэтчбек 5 дв.,голубой,бензин,2004,5,2006,автоматическая,2.0 LTR,129 N12,203000,задний,Левый,3 или более,Оригинал,399000
9,хэтчбек 3 дв.,чёрный,бензин,2007,3,2008,автоматическая,3.0 LTR,265 N12,150000,задний,Левый,3 или более,Дубликат,700000
10,хэтчбек 3 дв.,чёрный,бензин,2007,3,2011,автоматическая,1.6 LTR,115 N12,130000,задний,Левый,3 или более,Оригинал,450000
11,хэтчбек 5 дв.,серый,бензин,2004,5,2006,автоматическая,2.0 LTR,150 N12,211000,задний,Левый,3 или более,Оригинал,430000
12,хэтчбек 5 дв.,белый,бензин,2011,5,2013,автоматическая,1.6 LTR,136 N12,101000,задний,Левый,3 или более,Оригинал,800000
13,хэтчбек 5 дв.,чёрный,дизель,2011,5,2012,автоматическая,2.0 LTR,184 N12,240000,задний,Левый,3 или более,Оригинал,780000
14,хэтчбек 5 дв.,бежевый,бензин,2004,5,2006,автоматическая,2.0 LTR,129 N12,190000,задний,Левый,3 или более,Дубликат,425000
15,хэтчбек 5 дв.,белый,бензин,2015,5,2016,автоматическая,1.5 LTR,136 N12,100371,задний,Левый,3 или более,Дубликат,1110000
16,хэтчбек 5 дв.,белый,бензин,2015,5,2016,автоматическая,1.5 LTR,136 N12,106000,задний,Левый,1владелец,Оригинал,1150000
17,хэтчбек 5 дв.,синий,бензин,2007,5,2007,механическая,2.0 LTR,136 N12,227000,задний,Левый,3 или более,Дубликат,479000
18,хэтчбек 5 дв.,чёрный,бензин,2007,5,2008,автоматическая,2.0 LTR,136 N12,102000,задний,Левый,3 или более,Дубликат,420000
19,хэтчбек 5 дв.,чёрный,бензин,2007,5,2008,автоматическая,2.0 LTR,136 N12,153077,задний,Левый,3 или более,Оригинал,520000
20,хэтчбек 5 дв.,синий,бензин,2011,5,2013,автоматическая,1.6 LTR,136 N12,119725,задний,Левый,3 или более,Дубликат,775000
21,хэтчбек 5 дв.,белый,бензин,2011,5,2012,автоматическая,1.6 LTR,136 N12,66564,задний,Левый,3 или более,Оригинал,824000
22,хэтчбек 5 дв.,синий,бензин,2011,5,2013,автоматическая,1.6 LTR,136 N12,71500,задний,Левый,1владелец,Оригинал,950000
23,хэтчбек 5 дв.,белый,бензин,2007,5,2011,автоматическая,1.6 LTR,115 N12,181000,задний,Левый,3 или более,Оригинал,380000
24,хэтчбек 5 дв.,чёрный,бензин,2007,5,2009,механическая,2.0 LTR,170 N12,155000,задний,Левый,3 или более,Оригинал,550000
25,хэтчбек 5 дв.,белый,бензин,2011,5,2011,автоматическая,1.6 LTR,170 N12,146000,задний,Левый,3 или более,Оригинал,755000
26,хэтчбек 5 дв.,белый,бензин,2007,5,2010,автоматическая,2.0 LTR,136 N12,165183,задний,Левый,3 или более,Оригинал,480000
