,bodyType,color,fuelType,modelDate,numberOfDoors,productionDate,vehicleTransmission,engineDisplacement,enginePower,mileage,Привод,Руль,Владельцы,ПТС,price
12022,внедорожник 5 дв.,серый,бензин,2006,5,2008,автоматическая,3.0 LTR,272 N12,220000.0,полный,Левый,3 или более,Оригинал,850000.0
12023,внедорожник 5 дв.,серебристый,бензин,1999,5,2001,автоматическая,3.0 LTR,231 N12,203564.0,полный,Левый,3 или более,Оригинал,500000.0
12024,внедорожник 5 дв.,белый,дизель,2006,5,2009,автоматическая,3.0 LTR,235 N12,191000.0,полный,Левый,1владелец,Оригинал,1800000.0
12025,внедорожник 5 дв.,серебристый,бензин,2003,5,2003,автоматическая,3.0 LTR,231 N12,133000.0,полный,Левый,3 или более,Оригинал,760000.0
12026,внедорожник 5 дв.,чёрный,бензин,2003,5,2005,автоматическая,3.0 LTR,231 N12,220000.0,полный,Левый,2владельца,Оригинал,780000.0
12027,внедорожник 5 дв.,серый,бензин,1999,5,2002,автоматическая,4.6 LTR,347 N12,190000.0,полный,Левый,3 или более,Оригинал,452000.0
12028,внедорожник 5 дв.,серый,бензин,1999,5,2001,автоматическая,3.0 LTR,231 N12,300000.0,полный,Левый,3 или более,Дубликат,450000.0
12029,внедорожник 5 дв.,серый,дизель,2006,5,2009,автоматическая,3.0 LTR,286 N12,180000.0,полный,Левый,3 или более,Оригинал,1150000.0
12030,внедорожник 5 дв.,чёрный,бензин,2010,5,2010,автоматическая,3.0 LTR,306 N12,179000.0,полный,Левый,2владельца,Оригинал,1175000.0
12031,внедорожник 5 дв.,серый,бензин,2006,5,2008,автоматическая,3.0 LTR,272 N12,160000.0,полный,Левый,3 или более,Оригинал,799000.0
12032,внедорожник 5 дв.,чёрный,бензин,2010,5,2010,автоматическая,3.0 LTR,306 N12,167000.0,полный,Левый,1владелец,Дубликат,1170000.0
12033,внедорожник 5 дв.,серебристый,бензин,2003,5,2004,автоматическая,3.0 LTR,231 N12,280000.0,полный,Левый,3 или более,Дубликат,530000.0
12034,внедорожник 5 дв.,коричневый,дизель,2010,5,2011,автоматическая,3.0 LTR,245 N12,190000.0,полный,Левый,3 или более,Дубликат,1500000.0
12035,внедорожник 5 дв.,чёрный,бензин,2006,5,2007,автоматическая,3.0 LTR,272 N12,360000.0,полный,Левый,3 или более,Дубликат,770000.0
12036,внедорожник 5 дв.,серый,бензин,2003,5,2005,автоматическая,3.0 LTR,231 N12,270000.0,полный,Левый,3 или более,Оригинал,715000.0
12037,внедорожник 5 дв.,серый,дизель,2013,5,2014,автоматическая,3.0 LTR,218 N12,153688.0,полный,Левый,3 или более,Дубликат,2273680.0
12038,внедорожник 5 дв.,белый,дизель,2006,5,2008,автоматическая,3.0 LTR,235 N12,235000.0,полный,Левый,3 или более,Оригинал,1150000.0
12039,внедорожник 5 дв.,серебристый,дизель,2003,5,2004,автоматическая,3.0 LTR,218 N12,303000.0,полный,Левый,3 или более,Дубликат,715000.0
12040,внедорожник 5 дв.,чёрный,бензин,2006,5,2007,автоматическая,4.8 LTR,355 N12,270000.0,полный,Левый,3 или более,Дубликат,780000.0
12041,внедорожник 5 дв.,синий,дизель,2013,5,2017,автоматическая,3.0 LTR,249 N12,80400.0,полный,Левый,2владельца,Оригинал,
12042,внедорожник 5 дв.,серебристый,дизель,2013,5,2017,автоматическая,3.0 LTR,249 N12,53046.0,полный,Левый,1владелец,Оригинал,3999000.0
12043,внедорожник 5 дв.,чёрный,дизель,2013,5,2014,автоматическая,3.0 LTR,218 N12,120000.0,полный,Левый,3 или более,Оригинал,2590000.0
12044,внедорожник 5 дв.,чёрный,дизель,2006,5,2009,автоматическая,3.0 LTR,286 N12,240000.0,полный,Левый,3 или более,Дубликат,1100000.0
12045,внедорожник 5 дв.,чёрный,дизель,2018,5,2019,автоматическая,3.0 LTR,249 N12,78489.0,полный,Левый,1владелец,Оригинал,5099000.0
12046,внедорожник 5 дв.,чёрный,бензин,2006,5,2007,автоматическая,3.0 LTR,272 N12,185000.0,полный,Левый,3 или более,Дубликат,950000.0
12047,внедорожник 5 дв.,чёрный,дизель,2010,5,2013,автоматическая,3.0 LTR,245 N12,200000.0,полный,Левый,3 или более,Оригинал,1680000.0
12048,внедорожник 5 дв.,чёрный,бензин,1999,5,2002,автоматическая,4.4 LTR,286 N12,343000.0,полный,Левый,3 или более,Оригинал,400000.0
12049,внедорожник 5 дв.,чёрный,бензин,1999,5,2001,автоматическая,4.4 LTR,286 N12,290000.0,полный,Левый,3 или более,Оригинал,500000.0
12050,внедорожник 5 дв.,чёрный,дизель,2010,5,2013,автоматическая,3.0 LTR,245 N12,142000.0,полный,Левый,3 или более,Оригинал,1799900.0
12051,внедорожник 5 дв.,чёрный,бензин,2010,5,2012,автоматическая,3.0 LTR,306 N12,120000.0,полный,Левый,3 или более,Дубликат,1450000.0
12052,внедорожник 5 дв.,чёрный,бензин,2003,5,2005,автоматическая,3.0 LTR,231 N12,265490.0,полный,Левый,3 или более,Дубликат,650000.0
12053,внедорожник 5 дв.,коричневый,дизель,2010,5,2010,автоматическая,3.0 LTR,245 N12,120000.0,полный,Левый,1владелец,Оригинал,1645000.0
12054,внедорожник 5 дв.,серебристый,дизель,2013,5,2017,автоматическая,3.0 LTR,218 N12,70000.0,полный,Левый,1владелец,Оригинал,3200000.0
12055,внедорожник 5 дв.,серый,дизель,2003,5,2004,автоматическая,3.0 LTR,218 N12,317000.0,полный,Левый,2владельца,Оригинал,670000.0
12056,внедорожник 5 дв.,серый,бензин,2010,5,2011,автоматическая,3.0 LTR,306 N12,106956.0,полный,Левый,3 или более,Оригинал,1650000.0
12057,внедорожник 5 дв.,чёрный,дизель,2010,5,2013,автоматическая,3.0 LTR,245 N12,152497.0,полный,Левый,1владелец,Оригинал,1899000.0
12058,внедорожник 5 дв.,чёрный,бензин,2010,5,2010,автоматическая,3.0 LTR,306 N12,155631.0,полный,Левый,3 или более,Дубликат,1370000.0
12059,внедорожник 5 дв.,синий,бензин,1999,5,2000,автоматическая,4.4 LTR,286 N12,190000.0,полный,Левый,3 или более,Оригинал,398000.0
12060,внедорожник 5 дв.,серый,бензин,2003,5,2005,автоматическая,3.0 LTR,231 N12,217000.0,полный,Левый,3 или более,Оригинал,630000.0
12061,внедорожник 5 дв.,чёрный,дизель,2003,5,2003,автоматическая,3.0 LTR,218 N12,333000.0,полный,Левый,3 или более,Оригинал,700000.0
12062,внедорожник 5 дв.,серый,бензин,2006,5,2007,автоматическая,4.8 LTR,355 N12,151000.0,полный,Левый,3 или более,Дубликат,750000.0
12063,внедорожник 5 дв.,серый,бензин,2003,5,2005,автоматическая,4.8 LTR,360 N12,230000.0,полный,Левый,1владелец,Оригинал,850000.0
12064,внедорожник 5 дв.,белый,бензин,2010,5,2011,автоматическая,4.4 LTR,407 N12,105000.0,полный,Левый,2владельца,Оригинал,1650000.0
12065,внедорожник 5 дв.,серый,бензин,2006,5,2007,автоматическая,3.0 LTR,264 N12,267000.0,полный,Левый,3 или более,Оригинал,900000.0
12066,внедорожник 5 дв.,белый,бензин,2010,5,2011,автоматическая,3.0 LTR,306 N12,177800.0,полный,Левый,3 или более,Оригинал,
12067,внедорожник 5 дв.,серый,бензин,1999,5,2002,автоматическая,3.0 LTR,231 N12,215000.0,полный,Левый,3 или более,Дубликат,490000.0
12068,внедорожник 5 дв.,белый,дизель,2006,5,2009,автоматическая,3.0 LTR,286 N12,267500.0,полный,Левый,2владельца,Оригинал,2777777.0
12069,внедорожник 5 дв.,серебристый,бензин,2010,5,2012,автоматическая,4.4 LTR,407 N12,140000.0,полный,Левый,3 или более,Оригинал,1450000.0
12070,внедорожник 5 дв.,синий,бензин,2003,5,2004,автоматическая,4.8 LTR,360 N12,150000.0,полный,Левый,3 или более,Оригинал,620000.0
12071,внедорожник 5 дв.,чёрный,бензин,1999,5,2002,автоматическая,3.0 LTR,231 N12,270000.0,полный,Левый,3 или более,Оригинал,470000.0
12072,внедорожник 5 дв.,чёрный,дизель,2013,5,2015,автоматическая,3.0 LTR,249 N12,132176.0,полный,Левый,2владельца,Оригинал,2999000.0
12073,внедорожник 5 дв.,синий,бензин,1999,5,2000,автоматическая,4.4 LTR,286 N12,222246.0,полный,Левый,3 или более,Дубликат,380000.0
12074,внедорожник 5 дв.,чёрный,дизель,2010,5,2011,автоматическая,3.0 LTR,245 N12,169266.0,полный,Левый,3 или более,Дубликат,1693000.0
12075,внедорожник 5 дв.,белый,дизель,2013,5,2014,автоматическая,3.0 LTR,218 N12,113300.0,полный,Левый,1владелец,Оригинал,2520000.0
12076,внедорожник 5 дв.,чёрный,бензин,2010,5,2010,автоматическая,4.4 LTR,407 N12,245000.0,полный,Левый,3 или более,Оригинал,1299000.0
12077,внедорожник 5 дв.,серебристый,бензин,1999,5,2000,автоматическая,4.4 LTR,286 N12,420000.0,полный,Левый,3 или более,Оригинал,400000.0
12078,внедорожник 5 дв.,чёрный,дизель,2018,5,2018,автоматическая,3.0 LTR,249 N12,57000.0,полный,Левый,2владельца,Оригинал,5850000.0
12079,внедорожник 5 дв.,серый,дизель,2013,5,2014,автоматическая,3.0 LTR,218 N12,168000.0,полный,Левый,1владелец,Оригинал,2250000.0
12080,внедорожник 5 дв.,белый,дизель,2006,5,2009,автоматическая,3.0 LTR,286 N12,140000.0,полный,Левый,3 или более,Дубликат,1290000.0
12081,внедорожник 5 дв.,чёрный,дизель,2003,5,2005,автоматическая,3.0 LTR,218 N12,330000.0,полный,Левый,3 или более,Оригинал,800000.0
12082,внедорожник 5 дв.,серебристый,бензин,2003,5,2003,автоматическая,3.0 LTR,231 N12,200000.0,полный,Левый,1владелец,Оригинал,520000.0
